id,name,lat,lng,alt,address,capacity,cross_street
286,"286 - C/ BOLÍVIA, 76",41.403103,2.191428,18,"286 - C/ BOLÍVIA, 76",16,
287,"287 - GRAN VIA DE LES CORTS CATALANES, 632",41.389171,2.168113,32,"287 - GRAN VIA DE LES CORTS CATALANES, 632",16,
288,288 - PL. VIRREI AMAT,41.429636,2.174487,63,288 - PL. VIRREI AMAT,32,
289,"289 - C/ MÚRCIA, 64",41.416828,2.191022,18,"289 - C/ MÚRCIA, 64",27,
290,"290 - PL. DELS JARDINS D'ALFÀBIA, 1",41.437094,2.174047,84,"290 - PL. DELS JARDINS D'ALFÀBIA, 1",14,Pg. Verdum
291,"291 - C/ CUBELLES, 2",41.425897,2.17505,55,"291 - C/ CUBELLES, 2",27,
292,"292 - C/ AMILCAR, 1",41.430036,2.171974,63,"292 - C/ AMILCAR, 1",15,
293,"293 - C/ GRANOLLERS, 1",41.428388,2.163101,95,"293 - C/ GRANOLLERS, 1",24,
294,294 - SEU DEL DISTRICTE (NOU BARRIS),41.436373,2.170678,61,294 - SEU DEL DISTRICTE (NOU BARRIS),24,
295,"295 - C/ SANT ISCLE, 60",41.43345,2.1715,61,"295 - C/ SANT ISCLE, 60",27,
296,"296 - C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",41.436505,2.183877,25,"296 - C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",33,
297,"297 -  C/ TURÓ BLAU, 1-3",41.438864,2.176822,45,"297 -  C/ TURÓ BLAU, 1-3",24,
298,"298 - C/ ANDREU NIN, 22",41.43463,2.181747,45,"298 - C/ ANDREU NIN, 22",33,
299,"299 - C/ DE L'ESCULTOR ORDÓÑEZ, 55",41.433965,2.175199,45,"299 - C/ DE L'ESCULTOR ORDÓÑEZ, 55",27,
300,"300 - C/ DE MALADETA, 1",41.431593,2.176909,47,"300 - C/ DE MALADETA, 1",18,
301,"301 - C/ MARIE CURIE, 8-14",41.437053,2.169644,61,"301 - C/ MARIE CURIE, 8-14",27,
302,"302 - C/ CAVALLERS, 41",41.39065,2.111615,73,"302 - C/ CAVALLERS, 41",32,
303,"303 - C/ CAVALLERS, 67",41.393341,2.115076,101,"303 - C/ CAVALLERS, 67",27,
304,"304 - PG. MANUEL GIRONA, 7",41.390208,2.121029,63,"304 - PG. MANUEL GIRONA, 7",27,
305,"305 - AV. DIAGONAL, 680",41.387498,2.123637,63,"305 - AV. DIAGONAL, 680",27,
306,"306 - C/ DOCTOR SALVADOR CARDENAL, 1-5",41.385465,2.122912,63,"306 - C/ DOCTOR SALVADOR CARDENAL, 1-5",31,
307,307 - C/ PINTOR RIBALTA / AV. XILE,41.379135,2.113505,50,307 - C/ PINTOR RIBALTA / AV. XILE,32,
308,"308 - C/ CARDENAL REIG, 11",41.376788,2.113864,50,"308 - C/ CARDENAL REIG, 11",27,
309,"309 - C/ SANT RAMON NONAT,  26",41.37674,2.116973,47,"309 - C/ SANT RAMON NONAT,  26",22,
310,310 - C/ JOSEP SAMITIER / JOAN XXIII,41.381223,2.119077,47,310 - C/ JOSEP SAMITIER / JOAN XXIII,27,
311,"311 - C/ GALLEGO, 2",41.378638,2.120393,52,"311 - C/ GALLEGO, 2",24,
312,"312 - C/ ARIZALA, 77",41.379046,2.123253,50,"312 - C/ ARIZALA, 77",36,
313,"313 - C/ FELIU DE CASANOVA, 1",41.375366,2.129847,42,"313 - C/ FELIU DE CASANOVA, 1",27,
314,"314 - RAMBLA DEL BRASIL, 44",41.37836,2.129737,46,"314 - RAMBLA DEL BRASIL, 44",24,
315,"315 - C/ DEL GUINARDÓ, 32-38",41.415617,2.181966,33,"315 - C/ DEL GUINARDÓ, 32-38",27,
316,"316 - C/ CANTÀBRIA, 55",41.4222743,2.1984029,13,"316 - C/ CANTÀBRIA, 55",26,
317,"317 - RAMBLA DE PRIM, 256",41.425566,2.200693,12,"317 - RAMBLA DE PRIM, 256",27,
318,"318 - C/ CARTAGENA, 368",41.413406,2.171331,59,"318 - C/ CARTAGENA, 368",27,
319,"319 - C/ SAGUÉS, 1",41.393713,2.145584,65,"319 - C/ SAGUÉS, 1",19,
320,"320 - VÍA AUGUSTA, 109",41.401116,2.147953,80,"320 - VÍA AUGUSTA, 109",27,
321,"321 - C/ SANT HERMENEGILD, 30",41.403054,2.144549,80,"321 - C/ SANT HERMENEGILD, 30",27,
322,"322 - C/ SANTALÓ, 165",41.400977,2.13907,106,"322 - C/ SANTALÓ, 165",24,
323,"323 - C/ VALLMAJOR, 13",41.397996,2.138717,79,"323 - C/ VALLMAJOR, 13",27,
324,"324 - C/ REINA VICTORIA, 31",41.396938,2.136258,79,"324 - C/ REINA VICTORIA, 31",27,
325,"325 - C/ ALT DE GIRONELLA, 13",41.39493,2.130325,82,"325 - C/ ALT DE GIRONELLA, 13",23,
326,"326 - C/ BALMES, 409",41.407384,2.1383,110,"326 - C/ BALMES, 409",32,
327,"327 - C/ REUS, 23",41.405,2.13453,106,"327 - C/ REUS, 23",24,
328,"328 - C/ ARTESA DE SEGRE, 2",41.40293,2.13427,106,"328 - C/ ARTESA DE SEGRE, 2",27,
329,"329 - C/ DE LES ESCOLES PIES, 99",41.402879,2.128541,130,"329 - C/ DE LES ESCOLES PIES, 99",27,
331,"331 - C/ CASTELLNOU, 65",41.39706,2.12801,82,"331 - C/ CASTELLNOU, 65",29,
332,"332 - C/ DOCTOR ROUX, 86",41.399822,2.12809,82,"332 - C/ DOCTOR ROUX, 86",26,
333,"333 - PASSATGE DE SENILLOSA, 3-5",41.395632,2.125106,82,"333 - PASSATGE DE SENILLOSA, 3-5",27,
334,"334 - VIA AUGUSTA, 348",41.400722,2.123268,138,"334 - VIA AUGUSTA, 348",26,
335,"335 - C/ SANTA AMÈLIA, 2",41.393639,2.123224,96,"335 - C/ SANTA AMÈLIA, 2",26,
336,"336 - C/ CAPONATA, 10",41.395274,2.120973,96,"336 - C/ CAPONATA, 10",27,
337,"337 - C/ CARME KARR, 12-14",41.398719,2.120422,96,"337 - C/ CARME KARR, 12-14",22,
338,"338 - AV. J. V. FOIX,  63",41.397572,2.119506,96,"338 - AV. J. V. FOIX,  63",36,
339,"339 - C/ RAMON TURRÓ, 246",41.401662,2.205277,9,"339 - C/ RAMON TURRÓ, 246",27,
340,"340 - C/ SANT ADRIÀ, 113",41.43619,2.204573,28,"340 - C/ SANT ADRIÀ, 113",24,
341,"341 - PG. D'ENRIC SANCHIS, 33",41.433958,2.206166,28,"341 - PG. D'ENRIC SANCHIS, 33",27,
342,"342 - C/ ROC BORONAT, 134",41.403502,2.193702,18,"342 - C/ ROC BORONAT, 134",26,
343,343 - CAMPANA DE LA MAQUINISTA (SAO PAULO I P,41.438886,2.199598,19,343 - CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,27,
344,"344 - C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.443127,2.199538,23,"344 - C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",27,
345,345 - PL. TERESA DE CLARAMUNT/C/ DELS FERROCA,41.363093,2.139771,48,345 - PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS ,32,
347,"347 - C/ ALTS FORNS, 77",41.359496,2.14182,35,"347 - C/ ALTS FORNS, 77",28,
348,348 - JARDINS DE CAN FERRERO/PG.DE LA ZONA FR,41.357067,2.141563,13,348 - JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA ,33,
349,"349 - C/ DE L'ENERGIA, 2 / ALTS FORNS",41.357338,2.137172,13,"349 - C/ DE L'ENERGIA, 2 / ALTS FORNS",31,
350,"350 - C/ VILLARROEL, 208",41.391833,2.14812,69,"350 - C/ VILLARROEL, 208",30,
351,"351 - C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",41.362135,2.135637,48,"351 - C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",33,
352,"352 - C/RADI,10/GRAN VIA DE LES CORTS CATALA",41.36335,2.134144,48,"352 - C/RADI,10/GRAN VIA DE LES CORTS CATALANES",28,
353,353 - C/ MUNNÉ  2-6,41.375414,2.123191,47,353 - C/ MUNNÉ  2-6,29,
354,"354 - RAMBLA DEL BRASIL, 5",41.37592,2.13008,46,"354 - RAMBLA DEL BRASIL, 5",27,
356,"356 - C/ CAMÈLIES, 73",41.413425,2.163411,115,"356 - C/ CAMÈLIES, 73",27,
358,"358 - C/ GOMBAU, 24",41.387225,2.17927,16,"358 - C/ GOMBAU, 24",26,
359,"359 - C/ MÉNDEZ NÚÑEZ, 16",41.390021,2.177572,16,"359 - C/ MÉNDEZ NÚÑEZ, 16",25,
360,"360 - C/ BAILÉN, 62",41.395213,2.172984,42,"360 - C/ BAILÉN, 62",30,
361,361 - PG. DE COLOM (LES RAMBLES),41.376292,2.178553,5,361 - PG. DE COLOM (LES RAMBLES),33,
362,"362 - C/ BAILÉN, 100",41.397006,2.17057,42,"362 - C/ BAILÉN, 100",32,
363,"363 - C/ BRUC, 20",41.39076,2.1744,32,"363 - C/ BRUC, 20",24,
364,"364 - PG. DE GRÀCIA, 61",41.39324,2.16343,50,"364 - PG. DE GRÀCIA, 61",33,
365,"365 - C/ VILADOMAT, 244",41.387499,2.14702,51,"365 - C/ VILADOMAT, 244",31,
367,"367 - C/ MARQUÈS DE SENTMENAT, 46",41.385057,2.137331,57,"367 - C/ MARQUÈS DE SENTMENAT, 46",32,
368,"368 - C/ DIPUTACIÓ, 350",41.396815,2.175714,21,"368 - C/ DIPUTACIÓ, 350",28,
369,"369 - C/ CONSELL DE CENT, 482",41.400168,2.177948,28,"369 - C/ CONSELL DE CENT, 482",27,
370,"370 - C/ SARDENYA, 326",41.40377,2.172864,49,"370 - C/ SARDENYA, 326",30,
371,"371 - C/ DELS ENAMORATS, 49",41.404027,2.181264,28,"371 - C/ DELS ENAMORATS, 49",32,
372,"372 - C/ RIBES, 77",41.400167,2.184362,18,"372 - C/ RIBES, 77",27,
373,"373 - AV. PARAL.LEL, 132",41.375073,2.161305,35,"373 - AV. PARAL.LEL, 132",30,
374,"374 - PG. DE GRÀCIA, 89",41.395,2.16123,50,"374 - PG. DE GRÀCIA, 89",31,
375,375 - WORLD TRADE CENTER,41.372154,2.180701,1,375 - WORLD TRADE CENTER,27,
376,376 - WORLD TRADE CENTER,41.371663,2.180302,1,376 - WORLD TRADE CENTER,27,
377,377 - PL. ICTÍNEO,41.37747,2.183737,1,377 - PL. ICTÍNEO,29,
378,"378 - PL. JOAQUIM XIRAU I PALAU, 1",41.378516,2.176716,5,"378 - PL. JOAQUIM XIRAU I PALAU, 1",21,
380,"380 - C/ DURAN I BAS, 2",41.385463,2.174252,32,"380 - C/ DURAN I BAS, 2",24,
381,"381 - C/ AGUSTÍ DURAN I SANPERE, 10",41.381686,2.167816,24,"381 - C/ AGUSTÍ DURAN I SANPERE, 10",33,
382,"382 - C/ LOPE DE VEGA, 79",41.403938,2.204188,10,"382 - C/ LOPE DE VEGA, 79",27,
384,"384 - C/ VILAMARÍ, 85",41.380708,2.146793,44,"384 - C/ VILAMARÍ, 85",25,
385,"385 - C/ CASANOVA, 119",41.387978,2.155266,45,"385 - C/ CASANOVA, 119",30,
386,386 - AV. PARAL.LEL 164,41.375086,2.156848,40,386 - AV. PARAL.LEL 164,24,
387,"387 - C/ NÀPOLS, 125",41.395796,2.178784,21,"387 - C/ NÀPOLS, 125",27,
388,"388 - C/ RIERA ALTA, 6",41.380593,2.167418,24,"388 - C/ RIERA ALTA, 6",27,
389,389 - RECINTE PARC DE LA CIUTADELLA,41.38739,2.1875,11,389 - RECINTE PARC DE LA CIUTADELLA,27,
390,"390 - C/ COMERÇ, 36",41.386955,2.18195,16,"390 - C/ COMERÇ, 36",24,
391,"391 - C/ SAGRERA, 74",41.422873,2.191204,18,"391 - C/ SAGRERA, 74",27,
392,"392 - C/ RAMON TURRÓ, 4",41.390595,2.190681,11,"392 - C/ RAMON TURRÓ, 4",19,
393,"393 - C/ LLACUNA, 86",41.402177,2.197653,16,"393 - C/ LLACUNA, 86",32,
394,"394 - C/ DIPUTACIÓ, 226",41.387151,2.162838,41,"394 - C/ DIPUTACIÓ, 226",27,
395,"395 - PL. CATALUNYA, 22",41.386009,2.170212,32,"395 - PL. CATALUNYA, 22",33,
396,"396 - C/ JOAN MIRÓ, 2-12",41.389028,2.196844,1,"396 - C/ JOAN MIRÓ, 2-12",31,
397,397 - AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPI,41.388894,2.199334,1,397 - AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPIC),27,
398,398 - PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒ,41.381011,2.193502,0,398 - PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒRIA,27,
400,400 - MOLL ORIENTAL,41.36958,2.188017,5,400 - MOLL ORIENTAL,28,
401,401 - PL. ANTONIO LÓPEZ ( VIA LAIETANA),41.381241,2.181838,5,401 - PL. ANTONIO LÓPEZ ( VIA LAIETANA),24,
402,402 - PG. DE COLOM (VIA LAIETANA),41.380705,2.182415,5,402 - PG. DE COLOM (VIA LAIETANA),27,
404,"404 - C/ JUAN GRIS, 28",41.365374,2.133087,16,"404 - C/ JUAN GRIS, 28",32,
405,"405 - C/ COMTE BORRELL, 198",41.38551,2.152,45,"405 - C/ COMTE BORRELL, 198",26,
406,"406 - GRAN VIA DE LES CORTS CATALANES, 592 ",41.386512,2.164597,41,"406 - GRAN VIA DE LES CORTS CATALANES, 592 ",33,
408,"408 - C/ RAMON TRIAS FARGAS, 23",41.388988,2.192283,1,"408 - C/ RAMON TRIAS FARGAS, 23",39,
410,410 - PG. DE COLOM (LES RAMBLES),41.376433,2.17871,5,410 - PG. DE COLOM (LES RAMBLES),33,
412,"412 - PL. URQUINAONA, 3",41.389012,2.172667,32,"412 - PL. URQUINAONA, 3",27,
